Date,GBP to EUR,BTC to GBP
2020-02-03,1.188480019569397,7151.06689453125
2020-02-04,1.1746000051498413,7045.69140625
2020-02-05,1.179710030555725,7397.78955078125
2020-02-06,1.1812000274658203,7525.37939453125
2020-02-07,1.1773699522018433,7601.41748046875
2020-02-08,0.0,7655.095703125
2020-02-09,0.0,7847.55419921875
2020-02-10,1.1772099733352661,7630.94921875
2020-02-11,1.1836999654769897,7879.24755859375
2020-02-12,1.1861000061035156,7970.1240234375
2020-02-13,1.191290020942688,7829.36279296875
2020-02-14,1.2030999660491943,7903.7626953125
2020-02-15,0.0,7579.7890625
2020-02-16,0.0,7611.60400390625
2020-02-17,1.2036900520324707,7450.4306640625
2020-02-18,1.1998000144958496,7801.87255859375
2020-02-19,1.2038999795913696,7451.8583984375
2020-02-20,1.1956700086593628,7458.55078125
